Sergio , Entrada , 27/11/2018 08:50:50 p. m.

Sergio , Salida , 27/11/2018 08:50:50 p. m.

Chatmajo , Entrada , 27/11/2018 08:50:50 p. m.

Chatmajo , Salida , 27/11/2018 08:50:50 p. m.

Many , Entrada , 27/11/2018 08:50:50 p. m.

Many , Salida , 27/11/2018 08:50:50 p. m.

Sergio , Entrada , 27/11/2018 09:17:36 p. m.

Sergio , Salida , 27/11/2018 09:17:36 p. m.

Many , Entrada , 27/11/2018 09:17:36 p. m.

Many , Salida , 27/11/2018 09:17:36 p. m.

Chatmajo , Entrada , 27/11/2018 09:17:37 p. m.

Chatmajo , Salida , 27/11/2018 09:17:37 p. m.

Brian , Entrada , 27/11/2018 09:17:37 p. m.

Brian , Salida , 27/11/2018 09:17:37 p. m.

Miguel , Entrada , 27/11/2018 09:17:37 p. m.

Miguel , Salida , 27/11/2018 09:17:37 p. m.

Sergio , Entrada , 27/11/2018 09:19:51 p. m.

Sergio , Salida , 27/11/2018 09:19:52 p. m.

Many , Entrada , 27/11/2018 09:19:52 p. m.

Many , Salida , 27/11/2018 09:19:54 p. m.

Chatmajo , Entrada , 27/11/2018 09:19:54 p. m.

Chatmajo , Salida , 27/11/2018 09:19:55 p. m.

Brian , Entrada , 27/11/2018 09:19:55 p. m.

Brian , Salida , 27/11/2018 09:19:56 p. m.

Miguel , Entrada , 27/11/2018 09:19:56 p. m.

Miguel , Salida , 27/11/2018 09:19:58 p. m.

Sergio , Entrada , 27/11/2018 09:21:16 p. m.

Many , Entrada , 27/11/2018 09:21:17 p. m.

Chatmajo , Entrada , 27/11/2018 09:21:17 p. m.

Miguel , Entrada , 27/11/2018 09:21:17 p. m.

Brian , Entrada , 27/11/2018 09:21:17 p. m.

Miguel , Salida , 27/11/2018 09:21:18 p. m.

Brian , Salida , 27/11/2018 09:21:18 p. m.

Many , Salida , 27/11/2018 09:21:18 p. m.

Sergio , Salida , 27/11/2018 09:21:18 p. m.

Chatmajo , Salida , 27/11/2018 09:21:18 p. m.

Sergio , Entrada , 27/11/2018 09:21:45 p. m.

Many , Entrada , 27/11/2018 09:21:45 p. m.

Chatmajo , Entrada , 27/11/2018 09:21:45 p. m.

Brian , Entrada , 27/11/2018 09:21:45 p. m.

Miguel , Entrada , 27/11/2018 09:21:45 p. m.

Many , Salida , 27/11/2018 09:21:46 p. m.

Brian , Salida , 27/11/2018 09:21:46 p. m.

Sergio , Salida , 27/11/2018 09:21:48 p. m.

Chatmajo , Salida , 27/11/2018 09:21:48 p. m.

Miguel , Salida , 27/11/2018 09:21:48 p. m.

